BINF2010	M09A	LAB	Mon 09-12	KoraME307	25	22
BINF6111	H15A	TUT	Thu 15-16	AinswthG01	6	20
COMP1400	T14A	LAB	Tue 14-16	ClavierPhU	21	21
COMP1400	W14A	LAB	Wed 14-16	StringsME3	15	18
COMP1511	F09A	TLB	Fri 09-10	Quad 1043	24	24
COMP1511	F09B	TLB	Fri 09-10	Quad G054	24	24
COMP1511	F11A	TLB	Fri 11-12	Block G15	25	25
COMP1511	F11B	TLB	Fri 11-12	Quad G041	24	24
COMP1511	H11A	TLB	Thu 11-12	Quad 1047	24	24
COMP1511	H11B	TLB	Thu 11-12	Gold G07	24	24
COMP1511	H11C	TLB	Thu 11-12	BUS 205	34	34
COMP1511	H15A	TLB	Thu 15-16	Gold G05	24	24
COMP1511	H15B	TLB	Thu 15-16	Gold G07	24	24
COMP1511	M09A	TLB	Mon 09-10	CivEng G6	36	35
COMP1511	M15A	TLB	Mon 15-16	RedC 3037	32	32
COMP1511	M15B	TLB	Mon 15-16	Lib 176A	24	24
COMP1511	M18A	TLB	Mon 18-19	Ainswth201	25	25
COMP1511	T17A	TLB	Tue 17-18	Quad G041	24	24
COMP1511	T17B	TLB	Tue 17-18	Quad G054	24	24
COMP1511	W09A	TLB	Wed 09-10	CivEng 102	24	24
COMP1511	W09B	TLB	Wed 09-10	Block G16	25	24
COMP1511	W11A	TLB	Wed 11-12	Sqhouse218	24	24
COMP1511	W11B	TLB	Wed 11-12	Sqhouse203	25	25
COMP1511	W11C	TLB	Wed 11-12	Gold G01	35	35
COMP1511	W17A	TLB	Wed 17-18	Quad G041	24	24
COMP1511	W17B	TLB	Wed 17-18	Quad G054	24	24
COMP1521	F09A	TLB	Fri 09-10	Quad G041	23	24
COMP1521	F09B	TLB	Fri 09-10	Webst 252	24	24
COMP1521	F13A	TLB	Fri 13-14	RedC 4034	24	24
COMP1521	F13B	TLB	Fri 13-14	Col LG01	23	24
COMP1521	F13C	TLB	Fri 13-14	Webst 256	33	34
COMP1521	H09A	TLB	Thu 09-10	Quad G041	24	24
COMP1521	H09B	TLB	Thu 09-10	Gold G05	24	24
COMP1521	H11A	TLB	Thu 11-12	Gold G01	33	34
COMP1521	H15A	TLB	Thu 15-16	Quad 1048	24	24
COMP1521	H15B	TLB	Thu 15-16	RedC 4037	25	25
COMP1521	H18A	TLB	Thu 18-19	Quad G027	24	24
COMP1521	H18B	TLB	Thu 18-19	Quad G041	24	24
COMP1521	M11A	TLB	Mon 11-12	Quad G041	24	24
COMP1521	M11B	TLB	Mon 11-12	Quad G054	0	24
COMP1521	M13A	TLB	Mon 13-14	Quad G054	24	24
COMP1521	M13B	TLB	Mon 13-14	Quad G041	24	24
COMP1521	T09A	TLB	Tue 09-10	Newt 307	24	24
COMP1521	T09B	TLB	Tue 09-10	Quad G054	23	24
COMP1521	T09C	TLB	Tue 09-10	Quad G041	23	24
COMP1521	T11A	TLB	Tue 11-12	Quad G041	24	24
COMP1521	T11B	TLB	Tue 11-12	Quad G054	24	24
COMP1521	T17A	TLB	Tue 17-18	Webst 252	24	24
COMP1521	T17B	TLB	Tue 17-18	Block G15	35	35
COMP1521	T17C	TLB	Tue 17-18	Gold G05	24	24
COMP1521	W09A	TLB	Wed 09-10	CivEng 701	24	25
COMP1521	W09B	TLB	Wed 09-10	Webst 252	24	24
COMP1521	W11A	TLB	Wed 11-12	Quad G053	34	34
COMP1521	W11B	TLB	Wed 11-12	Quad G054	24	24
COMP1521	W11C	TLB	Wed 11-12	Webst 252	24	24
COMP1521	W13A	TLB	Wed 13-14	Newt 307	24	24
COMP1521	W13B	TLB	Wed 13-14	Quad G054	24	24
COMP1521	W18A	TLB	Wed 18-19	Quad G041	23	24
COMP1521	W18B	TLB	Wed 18-19	Quad G054	22	24
COMP1531	F11A	TLB	Fri 11-12	Newt 306	24	24
COMP1531	F11B	TLB	Fri 11-12	Webst 252	24	24
COMP1531	F16A	TLB	Fri 16-17	Law 276	35	35
COMP1531	F16B	TLB	Fri 16-17	Quad G027	24	24
COMP1531	H11A	TLB	Thu 11-12	Sqhouse218	24	24
COMP1531	H11B	TLB	Thu 11-12	Sqhouse214	24	24
COMP1531	H13A	TLB	Thu 13-14	Sqhouse218	24	24
